colsample_bytree	gamma	learning_rate	max_depth	min_child_weight	n_estimators	subsample	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
1.0	0	0.2	8	1	600	1.0	0.4633333333333334	0.448486849121524	0.45595125462772523	0.4464322857425772	0.6230249529861838
1.0	0	0.2	4	1	600	1.0	0.4605769230769231	0.4534988132782251	0.450362505141917	0.44637186491008995	0.6156736319260374
1.0	0	0.2	6	3	600	1.0	0.4556410256410257	0.4523193716863794	0.4497106814753874	0.4463115085885333	0.6296052715367493
1.0	0	0.2	8	3	600	1.0	0.45814102564102566	0.44977573080514255	0.45412987339457933	0.446298456438473	0.6251407447450348
0.5	0	0.01	8	3	200	1.0	0.47615384615384615	0.457229083552613	0.4551860231271997	0.44614209356328177	0.6547972698902409
0.5	0	0.01	8	3	200	0.5	0.47628205128205126	0.45022486772486775	0.45454482608894375	0.4448939635176005	0.6883663175540596
0.5	0	0.01	8	1	200	0.5	0.47621794871794876	0.45414412926006004	0.45420860185566064	0.4446624797642996	0.6703208663960283
0.5	0	0.2	8	3	1000	0.5	0.4605769230769231	0.4462630806013159	0.4501829951094657	0.44436934258487515	0.6470330572330779
1.0	0	0.2	8	1	1000	1.0	0.4607692307692308	0.44457771903592336	0.45317347684994747	0.44425611827484507	0.6247098756140973
0.5	0	0.01	6	3	200	1.0	0.4735897435897436	0.4523081011060551	0.4524919443301796	0.44376671510984744	0.6582509762102355
1.0	0	0.2	8	3	200	1.0	0.45801282051282055	0.4482821177790218	0.4489263677498972	0.44351863910676254	0.6239801533842126
1.0	0	0.01	4	3	1000	1.0	0.4608333333333333	0.4479226574079515	0.44827448695095756	0.4429100654991423	0.6386130107642429
1.0	0	0.01	6	1	200	0.5	0.47621794871794865	0.4460855706078819	0.45685817450523336	0.44273847108298836	0.6691917184007743
1.0	0	0.2	6	3	1000	0.5	0.45826923076923076	0.4446844811821592	0.45076380319027376	0.4425275819986275	0.6376428966589571
0.5	0	0.2	8	1	1000	0.5	0.4608333333333333	0.4457094483603772	0.45154840257781437	0.44251848995866744	0.643889631159943
1.0	0	0.2	4	1	1000	0.5	0.46051282051282055	0.44505950705641106	0.4484861625302802	0.4424676712400867	0.635782613562909
0.5	0	0.01	4	3	1000	1.0	0.4607051282051282	0.4516555561280625	0.4494519859225742	0.4423012489296309	0.6423380677361145
0.5	0	0.2	4	1	200	0.5	0.457948717948718	0.45391282250028375	0.44594039946981134	0.441688588062629	0.6486291017127164
0.5	0	0.01	6	3	1000	1.0	0.4555769230769231	0.4531505945321735	0.44296305818364645	0.4412962489278476	0.6437822849245436
1.0	0	0.01	8	3	1000	1.0	0.4606410256410257	0.4474126627984819	0.4465754262077792	0.4410135484084871	0.6336914405706471
0.5	0	0.2	8	1	600	0.5	0.4557051282051282	0.4441967304854302	0.44785507792860735	0.4407890474382706	0.6440482411698897
0.5	0	0.01	4	1	200	0.5	0.48121794871794876	0.4476227821997777	0.45565445175739294	0.4407481704141191	0.679142772599912
1.0	0	0.2	6	3	1000	1.0	0.45314102564102565	0.44562261268143627	0.4453078294254764	0.440390801660863	0.6285672231714963
0.5	0	0.2	8	1	600	1.0	0.4555128205128205	0.4465950714518826	0.4469487293752	0.44037931971929406	0.6334615144714686
0.5	0	0.2	4	1	600	1.0	0.4553846153846154	0.4514370916035003	0.44351809954751137	0.4401739351824042	0.6212139666356921
1.0	0	0.01	6	3	1000	1.0	0.455448717948718	0.4458038230832349	0.4429732277526394	0.4394519903466634	0.6305709293812631
1.0	0	0.2	4	3	1000	0.5	0.455576923076923	0.4441267063154262	0.44475221673751086	0.43927985652802015	0.6464796407421701
1.0	0	0.2	8	3	1000	1.0	0.450448717948718	0.44132982485923666	0.4456665638283286	0.4382728502827827	0.6260047153181486
0.5	0	0.01	8	3	600	1.0	0.4607051282051282	0.4426290261988203	0.44557795146030443	0.43824236336037653	0.6460585627359103
0.5	0	0.01	8	1	200	1.0	0.47115384615384615	0.440876879140811	0.45107260386672154	0.438122525588421	0.6541086515932981
0.5	0	0.2	6	1	200	1.0	0.45294871794871794	0.448920514040483	0.44177099044746104	0.437784560172574	0.6271194156285358
1.0	0	0.2	8	1	200	1.0	0.45282051282051283	0.4406470163823105	0.4448728232551763	0.43741361835210385	0.627149168811276
0.5	0	0.01	4	3	200	0.5	0.4736538461538461	0.4469940053316012	0.4498659673659674	0.43601392218420265	0.6892111832368232
1.0	0	0.01	6	3	600	1.0	0.4557051282051282	0.4444526915579548	0.4402605237899356	0.43575076175118765	0.6359666387662223
1.0	0	0.01	6	1	600	1.0	0.45820512820512815	0.43895364811773485	0.44350398784222317	0.4357486023598439	0.6271695285411646
0.5	0	0.01	6	1	200	1.0	0.47115384615384615	0.4429617445677817	0.44926979066684947	0.4356197202082746	0.6561600338588532
0.5	0	0.2	4	1	1000	1.0	0.4503846153846154	0.44409275665854614	0.4407581470816765	0.43541032803035895	0.6226705068382777
1.0	0	0.01	4	1	200	1.0	0.468525641025641	0.43971428683115993	0.4465996503496504	0.4353146657882848	0.6451807217737937
1.0	0	0.2	4	1	1000	1.0	0.44788461538461544	0.44260940040351804	0.4383358471593765	0.43418893992050905	0.6185809502092989
0.5	0	0.01	8	1	600	1.0	0.4556410256410256	0.4385568865832024	0.4420408268202386	0.43416844348221667	0.6349097842999327
1.0	0	0.2	6	1	1000	0.5	0.4478846153846153	0.43822646336578225	0.43868224096165276	0.43372402365067175	0.6376648014705606
1.0	0	0.01	6	3	200	1.0	0.45833333333333337	0.4440419547772489	0.43957624891448416	0.4336747198442404	0.6448349509181508
1.0	0	0.2	6	1	200	1.0	0.44782051282051283	0.4439711060067097	0.4373933909228027	0.43337623367658595	0.6184664285867221
1.0	0	0.01	8	3	600	1.0	0.45301282051282055	0.4400294558382793	0.437947975227387	0.4327297190875119	0.6377618666701661
1.0	0	0.01	4	3	600	1.0	0.45826923076923076	0.4421336652683402	0.43942719045660217	0.4323417044038931	0.6448484306201441
1.0	0	0.2	8	3	1000	0.5	0.4505128205128205	0.4363404094148474	0.4389104849398967	0.4322200202156449	0.6444458356465315
