max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
12	sqrt	4	10	1000	0.48916666666666664	0.4844601078889005	0.48849953151423736	0.4720384175199094	0.6761605302000452
12	log2	10	4	200	0.48903846153846153	0.47760636665822426	0.49117727044197623	0.47186376385523265	0.6915409648180705
12	log2	10	10	200	0.48903846153846153	0.47760636665822426	0.49117727044197623	0.47186376385523265	0.6915409648180705
12	log2	10	2	200	0.48903846153846153	0.47760636665822426	0.49117727044197623	0.47186376385523265	0.6915409648180705
12	log2	10	8	200	0.48903846153846153	0.47760636665822426	0.49117727044197623	0.47186376385523265	0.6915409648180705
10	sqrt	4	8	600	0.48916666666666664	0.484065690787827	0.4851971068147539	0.47127641361168643	0.6773399839298422
10	sqrt	4	2	600	0.48916666666666664	0.484065690787827	0.4851971068147539	0.47127641361168643	0.6773399839298422
10	sqrt	4	4	600	0.48916666666666664	0.484065690787827	0.4851971068147539	0.47127641361168643	0.6773399839298422
12	sqrt	4	8	1000	0.48910256410256403	0.48276006157585105	0.4877303007450067	0.47124327590337856	0.6790204574289003
12	sqrt	4	2	1000	0.48910256410256403	0.48276006157585105	0.4877303007450067	0.47124327590337856	0.6790204574289003
12	sqrt	4	4	1000	0.48910256410256403	0.48276006157585105	0.4877303007450067	0.47124327590337856	0.6790204574289003
8	log2	10	2	1000	0.4966666666666667	0.4797035748622435	0.494014751588281	0.4704302985111474	0.6850217169813263
8	log2	10	10	1000	0.4966666666666667	0.4797035748622435	0.494014751588281	0.4704302985111474	0.6850217169813263
8	log2	10	8	1000	0.4966666666666667	0.4797035748622435	0.494014751588281	0.4704302985111474	0.6850217169813263
8	log2	10	4	1000	0.4966666666666667	0.4797035748622435	0.494014751588281	0.4704302985111474	0.6850217169813263
6	sqrt	4	10	1000	0.4916025641025641	0.4874366155287208	0.49001839663604363	0.47025223072686845	0.6767135942131353
6	sqrt	8	10	200	0.49410256410256403	0.48013664984253224	0.4910322112527995	0.470029377101923	0.6832797013628505
6	sqrt	8	8	200	0.49410256410256403	0.48013664984253224	0.4910322112527995	0.470029377101923	0.6832797013628505
6	sqrt	8	4	200	0.49410256410256403	0.48013664984253224	0.4910322112527995	0.470029377101923	0.6832797013628505
6	sqrt	8	2	200	0.49410256410256403	0.48013664984253224	0.4910322112527995	0.470029377101923	0.6832797013628505
6	sqrt	2	4	600	0.491474358974359	0.4810910994463626	0.48912661684720504	0.46998356888522713	0.6692662123076847
6	sqrt	2	2	600	0.491474358974359	0.4810910994463626	0.48912661684720504	0.46998356888522713	0.6692662123076847
8	log2	10	2	600	0.49410256410256415	0.4846977333238944	0.4919791809497692	0.46972474781494694	0.6837475709394398
8	log2	10	10	600	0.49410256410256415	0.4846977333238944	0.4919791809497692	0.46972474781494694	0.6837475709394398
8	log2	10	4	600	0.49410256410256415	0.4846977333238944	0.4919791809497692	0.46972474781494694	0.6837475709394398
8	log2	10	8	600	0.49410256410256415	0.4846977333238944	0.4919791809497692	0.46972474781494694	0.6837475709394398
8	log2	8	4	200	0.486474358974359	0.47610771294981824	0.4856469674116733	0.4694621314750317	0.6805866432446532
8	log2	8	2	200	0.486474358974359	0.47610771294981824	0.4856469674116733	0.4694621314750317	0.6805866432446532
8	log2	8	10	200	0.486474358974359	0.47610771294981824	0.4856469674116733	0.4694621314750317	0.6805866432446532
8	log2	8	8	200	0.486474358974359	0.47610771294981824	0.4856469674116733	0.4694621314750317	0.6805866432446532
6	sqrt	2	10	1000	0.4915384615384615	0.4832197213118266	0.48852329859682797	0.4694562235226784	0.671949032127689
10	sqrt	4	2	1000	0.4866025641025641	0.48470558194242397	0.4852528109145756	0.469402793971814	0.6787441469452858
10	sqrt	4	4	1000	0.4866025641025641	0.48470558194242397	0.4852528109145756	0.469402793971814	0.6787441469452858
10	sqrt	4	8	1000	0.4866025641025641	0.48470558194242397	0.4852528109145756	0.469402793971814	0.6787441469452858
12	sqrt	8	2	600	0.4865384615384615	0.4853857379863572	0.4868058412176059	0.46937812066999374	0.686980412285387
12	sqrt	8	4	600	0.4865384615384615	0.4853857379863572	0.4868058412176059	0.46937812066999374	0.686980412285387
12	sqrt	8	8	600	0.4865384615384615	0.4853857379863572	0.4868058412176059	0.46937812066999374	0.686980412285387
12	sqrt	8	10	600	0.4865384615384615	0.4853857379863572	0.4868058412176059	0.46937812066999374	0.686980412285387
10	log2	8	8	200	0.48903846153846153	0.47939278314278316	0.4869133072809543	0.4690145315959094	0.6802348643081813
10	log2	8	2	200	0.48903846153846153	0.47939278314278316	0.4869133072809543	0.4690145315959094	0.6802348643081813
10	log2	8	4	200	0.48903846153846153	0.47939278314278316	0.4869133072809543	0.4690145315959094	0.6802348643081813
10	log2	8	10	200	0.48903846153846153	0.47939278314278316	0.4869133072809543	0.4690145315959094	0.6802348643081813
6	log2	4	10	600	0.4916025641025641	0.4757084635064512	0.48779000411353357	0.4689682080278538	0.6686090941703152
