colsample_bytree	gamma	learning_rate	max_depth	min_child_weight	n_estimators	subsample	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
0.5	0	0.2	4	1	1000	1.0	0.4172435897435897	0.3994141563917105	0.40364487636546464	0.3954787659512815	0.6052496403692026
0.5	0	0.2	4	3	1000	1.0	0.4147435897435897	0.39869696308163804	0.40118646875999814	0.3952741961693487	0.6089874623157001
1.0	0	0.01	4	3	1000	1.0	0.4249358974358974	0.4003617778600953	0.40346713743772566	0.3951638335185966	0.6040815254453834
1.0	0	0.2	6	3	600	1.0	0.41730769230769227	0.3965027298882798	0.4029335778600485	0.3951368969793518	0.6116960408441978
0.5	0	0.2	6	1	1000	1.0	0.41730769230769227	0.4005154554767558	0.4019692970428264	0.3945971431714052	0.6080748188252346
0.5	0	0.2	8	1	600	1.0	0.41980769230769227	0.3961607972824153	0.4053459938754057	0.39459278333040304	0.6113748496063881
1.0	0	0.2	6	1	1000	1.0	0.4171794871794872	0.393038012325938	0.4042336258512729	0.39399025157590295	0.6041363024896919
0.5	0	0.2	8	3	200	1.0	0.41217948717948716	0.40082409929276935	0.39818044700397637	0.39339052010624004	0.6144207422915202
0.5	0	0.2	6	1	600	1.0	0.4147435897435897	0.40015634090711494	0.4000996389231683	0.3928637364740525	0.6051442754515879
0.5	0	0.2	6	3	600	1.0	0.41487179487179493	0.39570135882324603	0.3997542163718634	0.3926596910628687	0.613262605458359
1.0	0	0.01	6	1	200	1.0	0.41467948717948727	0.39830926856081655	0.3994426162073221	0.39258295116416175	0.6076827684000371
0.5	0	0.01	4	1	600	1.0	0.42243589743589743	0.4010033603818098	0.40279697426756256	0.39219591298593076	0.6048008620622642
0.5	0	0.2	8	1	1000	1.0	0.4173076923076923	0.3925481127919208	0.401921534348005	0.3918467162255599	0.6150148195160813
1.0	0	0.2	8	1	600	1.0	0.41467948717948716	0.3953542485779328	0.4011555601261484	0.39137928110668546	0.6039919683020097
1.0	0	0.2	4	3	200	1.0	0.40705128205128205	0.39421948250121625	0.3990204648292883	0.39120355166717424	0.600132510500085
1.0	0	0.01	4	1	600	1.0	0.41730769230769227	0.3985714862765946	0.39901703688468393	0.39056772499427844	0.592575552949102
1.0	0	0.01	8	1	600	1.0	0.4147435897435897	0.4025625648823589	0.39560000457059286	0.3905171958183261	0.6026086528922262
0.5	0	0.2	4	1	200	1.0	0.40961538461538466	0.40202360991834674	0.393884318296083	0.39039355843667	0.5854217324308024
0.5	0	0.2	6	3	200	1.0	0.4096153846153846	0.40049816457105464	0.3937270899035605	0.3902675600045275	0.6153891386209269
0.5	0	0.2	6	3	1000	1.0	0.41224358974358977	0.39303693890650415	0.39737059509118333	0.39025615543664605	0.61457174732308
1.0	0	0.2	4	1	600	1.0	0.4096153846153846	0.3982304163844411	0.3925679304355775	0.38955688116210796	0.5874061670220483
0.5	0	0.2	6	1	200	1.0	0.40698717948717944	0.3998067807914355	0.3937439439645322	0.3893303715783204	0.5947315791309755
1.0	0	0.01	6	1	600	1.0	0.4070512820512821	0.3999215299950595	0.39064034005210474	0.3877030247275412	0.6022743719443031
1.0	0	0.01	6	1	1000	1.0	0.4070512820512821	0.396660358904941	0.3899070455688103	0.3861006042170687	0.5933729089924775
1.0	0	0.01	8	1	1000	1.0	0.4122435897435898	0.39439335458517044	0.3943247520453403	0.3860554313076028	0.5947200632905915
0.5	0	0.2	4	3	200	1.0	0.40192307692307694	0.3945837313987469	0.38866173042643626	0.38498104752651885	0.6003654204231781
1.0	0	0.01	4	1	1000	1.0	0.4069871794871795	0.3982315620396116	0.3906571941130765	0.3846306468225119	0.5884530614211287
1.0	0	0.2	4	1	200	1.0	0.39166666666666666	0.381269978731279	0.37571512637689103	0.37237139963695803	0.5774682860332278
1.0	1000	0.01	4	3	1000	1.0	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	4	1	1000	1.0	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	4	3	200	0.5	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	4	1	600	0.5	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	4	1	1000	0.5	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	4	1	600	1.0	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	4	3	600	0.5	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	4	1	200	1.0	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	4	1	200	0.5	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	8	3	1000	0.5	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.01	8	3	1000	1.0	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	4	3	200	1.0	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	1000	0.2	4	3	600	1.0	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
